Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-11-26,41.477,41.886,40.8,40.943,1309510
2013-11-27,40.587,41.877,40.587,41.823,459604
2013-11-28,41.432,42.01,41.432,41.833,583838
2013-11-29,42.01,42.67,41.851,42.634,1070144
2013-12-02,42.269,42.989,41.93,42.01,844239
2013-12-03,42.037,42.278,40.764,40.764,1111234
2013-12-04,40.764,41.192,40.346,40.783,1035080
2013-12-05,40.631,40.97,39.724,40.213,1418819
2013-12-06,41.209,41.342,39.455,40.426,1771453
2013-12-09,40.756,40.844,39.902,40.409,414485
2013-12-10,40.409,40.409,39.083,39.786,664865
2013-12-11,39.856,40.311,39.546,39.776,569394
2013-12-12,39.483,40.223,39.34,39.609,716747
2013-12-13,39.947,40.223,38.958,39.438,1166593
2013-12-16,39.429,39.438,38.557,38.985,1336762
2013-12-17,39.117,39.117,37.258,37.355,1230062
2013-12-18,37.632,38.042,36.261,36.76,1862758
2013-12-19,37.027,37.275,36.066,36.066,1302061
2013-12-20,36.092,36.76,35.62,36.047,2506371
2013-12-23,36.047,37.027,36.047,36.732,427163
2013-12-27,37.035,37.16,36.509,36.509,502319
2013-12-30,36.893,37.097,36.493,36.493,387225
2014-01-02,37.071,38.637,36.67,38.407,926291
2014-01-03,38.272,38.433,37.827,37.845,679888
2014-01-07,37.382,37.917,37.071,37.471,1578024
2014-01-08,37.471,37.774,37.213,37.382,1289284
2014-01-09,36.982,37.534,36.822,36.848,1560267
2014-01-10,36.67,37.561,36.075,37.561,2109192
2014-01-13,37.613,38.352,37.613,37.872,646456
2014-01-14,37.872,38.326,37.622,37.622,1565263
2014-01-15,38.264,38.317,37.561,37.561,1033416
2014-01-16,37.917,38.227,37.445,37.889,439800
2014-01-17,37.855,37.961,37.044,37.471,851531
2014-01-20,37.204,37.525,36.19,36.475,1257217
2014-01-21,36.661,37.204,36.448,36.448,648621
2014-01-22,36.929,36.929,35.692,36.012,2407972
2014-01-23,36.038,36.661,35.104,35.602,1358125
2014-01-24,35.647,36.075,34.694,34.694,1355479
2014-01-27,34.268,35.202,33.804,33.804,2025627
2014-01-28,34.268,34.615,33.84,34.268,1490476
2014-01-29,34.605,34.712,33.911,34.001,1697106
2014-01-30,34.001,34.418,33.377,34.356,1182097
2014-01-31,34.446,35.06,33.733,34.526,1584602
2014-02-03,34.615,35.113,34.311,34.535,1012912
2014-02-04,34.285,34.873,34.036,34.223,836158
